('Sena von Bozsik','Jonathan','Rheder','Ahorngasse (St. Andrä) 35b'),
('Phil Winkler','Matthias','Balzer','Feld-Weg 83b'),
('Matilda Friess','Frederik','Kramer','Steingrüneredt 3'),
('Dr. Emely Büchele','Kaya','Plotzitzka','Hochfeistritz 76'),
('Nevio Maczey','Jona','Zahn','Mühlboden 8'),
('Prof. Dr. Marian Green','Jermaine','Neurohr','Tennweg 956'),
('Line von der Marl','Jeremias','Fenner','Ötzbruck 57'),
('Martin Uhrig','Tarik','Reinke','Helenengasse 847'),
('Emilian Wakan','Luiz','Denzinger','Neustiftgasse 116'),
('Prof. Dr. Luna Golomski','Colleen','Abel','Unterer Sonnrainweg 92a'),
('Vitus Bürger','Ellen','Weigel','Eschenweg 7'),
('Joline Just','Lee','Itt','Ringweg 7'),
('Joanna Franta','Enna','Koczulla','Mitterweg 24'),
('Jens Röttger','Ruby','Wilts','Reiterweg 77a'),
('Tizian Kleiss','Marlon','Proske','Koloniestraße 73b');
